601603883307106362;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
688729189259411538;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
688657692327411804;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
661646883382362153;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
414848429152403467;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
592383333376196625;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
478715935432114197;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
679069759395856463;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
545103326451204107;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
665636071119388682;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
455824293666750478;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
580598588749512707;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
499383056822435840;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
235088799074484224;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
541409219585376258;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
459495905402552340;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
690451849102491648;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
473218081112457227;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
503662173516726281;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
687476783297462312;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
549749099902009364;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
301736430525349899;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
294882584201003009;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
458657749115469825;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
270904126974590976;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
489794394505871380;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
648263516188442654;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
351376171226628096;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
543632112754884628;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
597470836282359808;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
659665688318836748;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
686019980105744405;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
620721663776129034;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
582335447846354945;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
669475794959204363;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
674573408247480321;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
677670271196594207;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
235148962103951360;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
571055900606070805;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
528717935686975509;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
316805897609281536;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
155149108183695360;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
441415078139658251;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
432533456807919639;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
656830236452978710;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
332173543473152001;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
661421992007696384;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
580547221443969036;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
619970834357944351;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
428972324260282368;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
457366476198772747;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
669332149283061760;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
670684641392459836;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
591223526309232642;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
348225995515494411;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
407935717805785109;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
676031153790124050;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
667739693303201792;[0, 0, 700];2020-03-29/19:11:33;2020-03-29/19:11:34;2020-03-29/19:13:29;2020-03-29/19:13:18;2020-03-29/19:11:52;|;2020-03-29/19:13:01;0;[1, 0, 0]
657926245899829257;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
250716778949378059;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
663773823757320213;[0, 0, 0];|;|;|;|;|;|;|;0;[0, 0, 0]
